"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient", "Heat_Flux"
36149, 5.899327757000000e-01, 4.561861289300000e-02, 1.136879941166046e+05, -2.324922263633177e-01, 2.958412260335699e-03, -6.239368882328161e-02
36150, 6.089230652099999e-01, -4.404353001800000e-02, 1.142753685363463e+05, -1.048745463236328e-01, 2.947692252034344e-03, -1.254994625238252e-01
36407, 5.707054231599999e-01, 4.715080946800000e-02, 1.136213577479584e+05, -2.469701785639669e-01, 3.016744073106716e-03, -6.443500197614074e-02
36408, 5.899327756900000e-01, -4.561861289400000e-02, 1.142392321400887e+05, -1.127258297646532e-01, 2.989308545083993e-03, -1.295785322169325e-01
36665, 5.512916003500000e-01, 4.863090808500000e-02, 1.135532636011373e+05, -2.617648593493760e-01, 3.077030318210021e-03, -6.665490365368146e-02
36666, 5.707054231499999e-01, -4.715080946900000e-02, 1.142030949047558e+05, -1.205772955099018e-01, 3.032194092641554e-03, -1.336766808481176e-01
36923, 5.317439474400000e-01, 5.004966851300000e-02, 1.134836453070095e+05, -2.768906886097059e-01, 3.139608739293238e-03, -6.914684950858274e-02
36924, 5.512916003400000e-01, -4.863090808600000e-02, 1.141669937616586e+05, -1.284209195663630e-01, 3.076460369873139e-03, -1.378206487073523e-01
37181, 5.121166001200000e-01, 5.139794887200000e-02, 1.134130448608540e+05, -2.922299081012509e-01, 3.204459057308668e-03, -7.198335444530252e-02
37182, 5.317439474300000e-01, -5.004966851400000e-02, 1.141310097741195e+05, -1.362390894661294e-01, 3.122226730119382e-03, -1.420260259107036e-01
37439, 4.924646039300000e-01, 5.266684144100000e-02, 1.133412114190392e+05, -3.078370181243662e-01, 3.271398844269027e-03, -7.518857703749342e-02
37440, 5.121166001100000e-01, -5.139794887300000e-02, 1.140954225415128e+05, -1.439710572053673e-01, 3.169443242243301e-03, -1.462808881626520e-01
37697, 4.728433082500000e-01, 5.384781416000000e-02, 1.132680605857532e+05, -3.237303551904192e-01, 3.340622598913733e-03, -7.883040912930601e-02
37698, 4.924646039200000e-01, -5.266684144200000e-02, 1.140602724287195e+05, -1.516080527861383e-01, 3.218003796146497e-03, -1.505861678254068e-01
37955, 4.533077537400000e-01, 5.493285287800000e-02, 1.131940090085121e+05, -3.398193951165102e-01, 3.412211004788756e-03, -8.293495076164853e-02
37956, 4.728433082400000e-01, -5.384781416100000e-02, 1.140256146831718e+05, -1.591380727079115e-01, 3.267934272218886e-03, -1.548912389008388e-01
38213, 4.339120676200000e-01, 5.591460064600000e-02, 1.131192273258383e+05, -3.560670636079108e-01, 3.485957600889012e-03, -8.749487782486996e-02
38214, 4.533077537300000e-01, -5.493285287900000e-02, 1.139917296726223e+05, -1.665002020229018e-01, 3.319224660950012e-03, -1.592578456679155e-01
38471, 4.147088805400000e-01, 5.678648875300000e-02, 1.130434687037577e+05, -3.725269897946498e-01, 3.561931814177266e-03, -9.240867509374272e-02
38472, 4.339120676100000e-01, -5.591460064700000e-02, 1.139589141784363e+05, -1.736299596300043e-01, 3.371708135881371e-03, -1.636304687733807e-01
38729, 3.957487779700000e-01, 5.754285488100000e-02, 1.129673331103813e+05, -3.890688197902560e-01, 3.640102680548927e-03, -9.784909600627878e-02
38730, 4.147088805300000e-01, -5.678648875400000e-02, 1.139272237957751e+05, -1.805152664783486e-01, 3.425294689156295e-03, -1.679843338935592e-01
38987, 3.770797978900000e-01, 5.817904262400000e-02, 1.128907444974360e+05, -4.057090764528367e-01, 3.720260637746299e-03, -1.037406965355989e-01
38988, 3.957487779600000e-01, -5.754285488100000e-02, 1.138969803988242e+05, -1.870861895993875e-01, 3.479908539764503e-03, -1.722637896649085e-01
39245, 3.587469844200000e-01, 5.869148183400000e-02, 1.128137659160245e+05, -4.224340607938425e-01, 3.802494010850474e-03, -1.101057414427760e-01
39246, 3.770797978800000e-01, -5.817904262400000e-02, 1.138684638858416e+05, -1.932819160514552e-01, 3.535337222968766e-03, -1.764251509835009e-01
39503, 3.407920053300000e-01, 5.907774238000000e-02, 1.127367985200499e+05, -4.391566148970462e-01, 3.886814837429641e-03, -1.168797150428645e-01
39504, 3.587469844000000e-01, -5.869148183400000e-02, 1.138417191882951e+05, -1.990926836632793e-01, 3.591491611994378e-03, -1.804307826653685e-01
39761, 3.232528391000000e-01, 5.933656107700000e-02, 1.126593558386311e+05, -4.559824333299896e-01, 3.973498860982713e-03, -1.240739128042073e-01
39762, 3.407920053200000e-01, -5.907774238000000e-02, 1.138170223916902e+05, -2.044585078823905e-01, 3.648345543476866e-03, -1.842618228580456e-01
40019, 3.061635345800000e-01, 5.946784792900000e-02, 1.125815437400368e+05, -4.728885143029943e-01, 4.062897657365547e-03, -1.317274416824597e-01
40020, 3.232528390900000e-01, -5.933656107700000e-02, 1.137942673608429e+05, -2.094024484905586e-01, 3.706010965791313e-03, -1.879270910879023e-01
40277, 2.895540445300000e-01, 5.947265120600000e-02, 1.125032791902347e+05, -4.898928984562684e-01, 4.155763479554017e-03, -1.398402169863541e-01
40278, 3.061635345700000e-01, -5.946784792900000e-02, 1.137733018529549e+05, -2.139575829798938e-01, 3.764786757062096e-03, -1.914594152097872e-01
40535, 2.734501317400000e-01, 5.935311774500000e-02, 1.124263270870030e+05, -5.066121299354208e-01, 4.251042024260871e-03, -1.481193817485353e-01
40536, 2.895540445200000e-01, -5.947265120500000e-02, 1.137545412760823e+05, -2.180336564625334e-01, 3.825005653693141e-03, -1.948322103413671e-01
40793, 2.578733448600000e-01, 5.911241796100000e-02, 1.123517431565835e+05, -5.228168331851177e-01, 4.346827483984510e-03, -1.562379536748891e-01
40794, 2.734501317300000e-01, -5.935311774500000e-02, 1.137392331946272e+05, -2.213596130849085e-01, 3.885767623337176e-03, -1.978079806627455e-01
41051, 2.428410589100000e-01, 5.875464540500000e-02, 1.122793424129663e+05, -5.385471997503541e-01, 4.442993359101803e-03, -1.641446020161889e-01
41052, 2.578733448500000e-01, -5.911241796000000e-02, 1.137286048951238e+05, -2.236688027258099e-01, 3.945358104403608e-03, -2.001483379936712e-01
41309, 2.283665749900000e-01, 5.828472232100000e-02, 1.122084812782800e+05, -5.539430585240885e-01, 4.540001854884492e-03, -1.718359943622925e-01
41310, 2.428410589100000e-01, -5.875464540500000e-02, 1.137226223036160e+05, -2.249686285663395e-01, 4.003537828297039e-03, -2.019487830760521e-01
41567, 2.144592713500000e-01, 5.770827281700000e-02, 1.121390682690065e+05, -5.690242859496110e-01, 4.638234768025560e-03, -1.792854709069823e-01
