"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient", "Heat_Flux"
34085, 7.316031585400000e-01, 3.253806414300000e-02, 3.874927123999882e+06, 1.388583521400079e+00, 2.447005459164862e-02, 1.756448807823034e-02
34086, 7.472594328700000e-01, -3.091648930600000e-02, 3.874928864192671e+06, 1.401349446362977e+00, 2.449307550100525e-02, 2.040536930179720e-02
34343, 7.154261825600000e-01, 3.417852304500000e-02, 3.874924725698938e+06, 1.370989763918837e+00, 2.448228578804267e-02, 1.383345674821785e-02
34344, 7.316031585200000e-01, -3.253806414400000e-02, 3.874926435495740e+06, 1.383532706187187e+00, 2.450380998459125e-02, 1.466352989905378e-02
34601, 6.987499446500000e-01, 3.583185629600000e-02, 3.874921646039333e+06, 1.348397609947019e+00, 2.448344911163832e-02, 1.193624376899314e-02
34602, 7.154261825500000e-01, -3.417852304600000e-02, 3.874925859659383e+06, 1.379308413468133e+00, 2.450811346317056e-02, 1.511666414564932e-02
34859, 6.816001145700000e-01, 3.749149362100000e-02, 3.874916109572900e+06, 1.307782503674483e+00, 2.448879139017971e-02, 9.279643404783015e-03
34860, 6.987499446400000e-01, -3.583185629700000e-02, 3.874921972034262e+06, 1.350789084512917e+00, 2.451584908576302e-02, 1.173374860236686e-02
35117, 6.640065698399999e-01, 3.915032464600000e-02, 3.874907672369497e+06, 1.245887806582870e+00, 2.448056454762695e-02, 6.166442231468863e-03
35118, 6.816001145600000e-01, -3.749149362200000e-02, 3.874916769161804e+06, 1.312621198849705e+00, 2.451638754031099e-02, 9.189291642388990e-03
35375, 6.460033026000001e-01, 4.080073056700000e-02, 3.874900078409633e+06, 1.190179081413987e+00, 2.446441230453513e-02, 5.593301565193515e-03
35376, 6.640065698299999e-01, -3.915032464700000e-02, 3.874908664547592e+06, 1.253166351343970e+00, 2.450855299143868e-02, 6.156929765898848e-03
35633, 6.276282526000000e-01, 4.243462858800000e-02, 3.874893245005593e+06, 1.140049737252690e+00, 2.445289461282788e-02, 4.119291675109505e-03
35634, 6.460033025900001e-01, -4.080073056800000e-02, 3.874900994926700e+06, 1.196902582505230e+00, 2.449224152770991e-02, 5.633028483973121e-03
35891, 6.089230652199999e-01, 4.404353001700000e-02, 3.874885839547358e+06, 1.085723846028088e+00, 2.444158604919903e-02, 2.612789401202208e-03
35892, 6.276282525900000e-01, -4.243462858900000e-02, 3.874894212023151e+06, 1.147143706187012e+00, 2.447927821408549e-02, 4.155737430938094e-03
36149, 5.899327757000000e-01, 4.561861289300000e-02, 3.874878007334065e+06, 1.028267311417885e+00, 2.442813226835693e-02, 1.147763624922291e-03
36150, 6.089230652099999e-01, -4.404353001800000e-02, 3.874886894496813e+06, 1.093462876827129e+00, 2.446696096789625e-02, 2.656333001286097e-03
36407, 5.707054231599999e-01, 4.715080946800000e-02, 3.874869848178071e+06, 9.684123494529779e-01, 2.441433086488045e-02, -4.489482508177894e-04
